codigo_ocorrencia2;aeronave_matricula;aeronave_tipo_equipamento;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;anv_motor_qtd;anv_motor_descricao_qtd;aeronave_pmd;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
79799;PTERL;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;2;BIMOTOR;2073;7;1978;BRASIL;BRASIL;NÃO IDENTIFICADO;NÃO IDENTIFICADO;CORRIDA APÓS POUSO;PRIVADA;NENHUM;0
79798;PRTCE;AVIÃO;LAVIASA;PA-25-235;PA25;PISTÃO;1;MONOMOTOR;1315;1;1965;BRASIL;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;AGRÍCOLA;SUBSTANCIAL;0
79787;PRYRA;AVIÃO;AIRBUS;A320-251N;A320;JATO;2;BIMOTOR;77000;183;2016;BRASIL;BRASIL;PINTO MARTINS;GUARARAPES - GILBERTO FREYRE;DECOLAGEM;REGULAR;NENHUM;0
79786;PTERY;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;2;BIMOTOR;2073;6;1978;BRASIL;BRASIL;PRESIDENTE CASTRO PINTO;SENADOR PETRÔNIO PORTELLA;SUBIDA;PRIVADA;NENHUM;0
79785;PPPTN;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT72;TURBOÉLICE;2;BIMOTOR;22500;73;2008;BRASIL;BRASIL;EDUARDO GOMES;PREFEITO ORLANDO MARINHO;CRUZEIRO;REGULAR;NENHUM;0
79784;PTOKJ;AVIÃO;CESSNA AIRCRAFT;182Q;C182;PISTÃO;1;MONOMOTOR;1338;4;1980;BRASIL;BRASIL;ESTÂNCIA SANTA MARIA;TERUEL IPANEMA ESTÂNCIA;CIRCUITO DE TRÁFEGO;PRIVADA;LEVE;0
79776;PRHFT;AVIÃO;CESSNA AIRCRAFT;525;C525;JATO;2;BIMOTOR;4853;8;2016;BRASIL;BRASIL;CONGONHAS;TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO;POUSO;PRIVADA;SUBSTANCIAL;0
79770;PRRMI;AVIÃO;CESSNA AIRCRAFT;208B;C208;TURBOÉLICE;1;MONOMOTOR;3969;11;2009;BRASIL;BRASIL;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA;MARECHAL RONDON;CORRIDA APÓS POUSO;TÁXI AÉREO;LEVE;0
79769;PTOCN;AVIÃO;PIPER AIRCRAFT;PA-28R-201;P28R;PISTÃO;1;MONOMOTOR;1247;4;0;BRASIL;BRASIL;SANTA ROSA DO PURUS;MANUEL URBANO;POUSO;PRIVADA;NENHUM;0
79766;PTEMR;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;2;BIMOTOR;2073;6;1977;BRASIL;BRASIL;FRANCISCO DE ASSIS;FRANCISCO DE ASSIS;POUSO;INSTRUÇÃO;LEVE;0
